Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03,4303.93994140625,4348.66015625,4303.93994140625,4331.81982421875,25841400,0,0
2022-01-04,4346.4501953125,4390.58984375,4342.25,4367.6201171875,32585300,0,0
2022-01-05,4368.77978515625,4395.77978515625,4367.02978515625,4392.14990234375,29744700,0,0
2022-01-06,4372.4501953125,4372.4501953125,4304.5400390625,4324.81005859375,32675500,0,0
2022-01-07,4331.06982421875,4335.72021484375,4279.7099609375,4305.830078125,31689000,0,0
2022-01-10,4312.1298828125,4324.64013671875,4231.06005859375,4239.52001953125,31296700,0,0
2022-01-11,4251.7998046875,4303.169921875,4251.7998046875,4281.5400390625,26401700,0,0
2022-01-12,4306.25,4328.759765625,4289.0,4316.39013671875,39871000,0,0
2022-01-13,4319.259765625,4335.490234375,4294.990234375,4315.89990234375,31408300,0,0
2022-01-14,4307.47998046875,4307.47998046875,4256.60986328125,4272.18994140625,34933600,0,0
2022-01-17,4281.31005859375,4310.490234375,4274.25,4302.14013671875,20507500,0,0
2022-01-18,4293.580078125,4293.580078125,4266.14990234375,4266.830078125,0,0,0
